"Region_ID","code","Description","Remarks","IsActive","CreatedBy"
"1","DUB","Dubai","1","1","1"
"2","SAU","Saudi Arabia","1","1","1"
"3","MBA","Mumbai","1","1","1"
"4","SAF","South Africa","1","1","1"
"5","WAF","West Africa","1","1","1"
"6","SGP","Singapore","1","1","1"
